S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party Name,State Name
23,Faizabad(54),AWADHESH PRASAD,554289,54567,Samajwadi Party,Uttar Pradesh
24,Ambedkar Nagar(55),LALJI VERMA,544959,137247,Samajwadi Party,Uttar Pradesh
25,Shrawasti(58),RAM SHIROMANI VERMA,511055,76673,Samajwadi Party,Uttar Pradesh
26,Basti(61),RAM PRASAD CHAUDHARY,527005,100994,Samajwadi Party,Uttar Pradesh
27,Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,498695,92170,Samajwadi Party,Uttar Pradesh
28,Lalganj(68),DAROGA PRASAD SAROJ,439959,115023,Samajwadi Party,Uttar Pradesh
29,Azamgarh(69),DHARMENDRA YADAV,508239,161035,Samajwadi Party,Uttar Pradesh
30,Ghosi(70),RAJEEV RAI,503131,162943,Samajwadi Party,Uttar Pradesh
31,Salempur(71),RAMASHANKAR RAJBHAR,405472,3573,Samajwadi Party,Uttar Pradesh
32,Ballia(72),SANATAN PANDEY,467068,43384,Samajwadi Party,Uttar Pradesh
33,Jaunpur(73),BABU SINGH KUSHWAHA,509130,99335,Samajwadi Party,Uttar Pradesh
34,Machhlishahr(74),PRIYA SAROJ,451292,35850,Samajwadi Party,Uttar Pradesh
35,Ghazipur(75),AFZAL ANSARI,539912,124861,Samajwadi Party,Uttar Pradesh
36,Chandauli(76),BIRENDRA SINGH,474476,21565,Samajwadi Party,Uttar Pradesh
37,Robertsganj(80),CHHOTELAL,465848,129234,Samajwadi Party,Uttar Pradesh
1,Coochbehar(1),JAGADISH CHANDRA BARMA BASUNIA,788375,39250,All India Trinamool Congress,West Bengal
2,Jangipur(9),KHALILUR RAHAMAN,544427,116637,All India Trinamool Congress,West Bengal
3,Baharampur(10),PATHAN YUSUF,524516,85022,All India Trinamool Congress,West Bengal
4,Murshidabad(11),ABU TAHER KHAN,682442,164215,All India Trinamool Congress,West Bengal
5,Krishnanagar(12),MAHUA MOITRA,628789,56705,All India Trinamool Congress,West Bengal
6,Barrackpur(15),PARTHA BHOWMICK,520231,64438,All India Trinamool Congress,West Bengal
7,Dum dum(16),SOUGATA RAY,528579,70660,All India Trinamool Congress,West Bengal
8,Barasat(17),KAKOLI GHOSH DASTIDAR,692010,114189,All India Trinamool Congress,West Bengal
9,Basirhat(18),SK NURUL ISLAM,803762,333547,All India Trinamool Congress,West Bengal
10,Joynagar(19),PRATIMA MONDAL,894312,470219,All India Trinamool Congress,West Bengal
11,Mathurapur(20),BAPI HALDAR,755731,201057,All India Trinamool Congress,West Bengal
12,Diamond harbour(21),ABHISHEK BANERJEE,1048230,710930,All India Trinamool Congress,West Bengal
13,Jadavpur(22),SAYANI GHOSH,717899,258201,All India Trinamool Congress,West Bengal
14,Kolkata Dakshin(23),MALA ROY,615274,187231,All India Trinamool Congress,West Bengal
15,Kolkata Uttar(24),BANDYOPADHYAY SUDIP,454696,92560,All India Trinamool Congress,West Bengal
16,Howrah(25),PRASUN BANERJEE,626493,169442,All India Trinamool Congress,West Bengal
17,Uluberia(26),SAJDA AHMED,724622,218673,All India Trinamool Congress,West Bengal
18,Srerampur(27),KALYAN BANERJEE,673970,174830,All India Trinamool Congress,West Bengal
19,Hooghly(28),RACHNA BANERJEE,702744,76853,All India Trinamool Congress,West Bengal
20,Arambagh(29),BAG MITALI,712587,6399,All India Trinamool Congress,West Bengal
21,Ghatal(32),ADHIKARI DEEPAK (DEV),837990,182868,All India Trinamool Congress,West Bengal
22,Jhargram(33),KALIPADA SAREN (KHERWAL),743478,174048,All India Trinamool Congress,West Bengal
23,Medinipur(34),JUNE MALIAH,702192,27191,All India Trinamool Congress,West Bengal
24,Bankura(36),ARUP CHAKRABORTY,641813,32778,All India Trinamool Congress,West Bengal
25,Bardhaman Purba(38),DR. SHARMILA SARKAR,720302,160572,All India Trinamool Congress,West Bengal
26,Bardhaman-Durgapur(39),AZAD KIRTI JHA,720667,137981,All India Trinamool Congress,West Bengal
27,Asansol(40),SHATRUGHAN PRASAD SINHA,605645,59564,All India Trinamool Congress,West Bengal
28,Bolpur(41),ASIT KUMAR MAL,855633,327253,All India Trinamool Congress,West Bengal
29,Birbhum(42),SATABDI ROY,717961,197650,All India Trinamool Congress,West Bengal
1,CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222,Dravida Munnetra Kazhagam,Tamil Nadu
2,CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945,Dravida Munnetra Kazhagam,Tamil Nadu
3,CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689,Dravida Munnetra Kazhagam,Tamil Nadu
4,SRIPERUMBUDUR(5),T R BAALU,758611,487029,Dravida Munnetra Kazhagam,Tamil Nadu
5,KANCHEEPURAM(6),SELVAM. G,586044,221473,Dravida Munnetra Kazhagam,Tamil Nadu
6,ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559,Dravida Munnetra Kazhagam,Tamil Nadu
7,VELLORE(8),DM KATHIR ANAND,568692,215702,Dravida Munnetra Kazhagam,Tamil Nadu
8,DHARMAPURI(10),MANI. A.,432667,21300,Dravida Munnetra Kazhagam,Tamil Nadu
9,TIRUVANNAMALAI(11),"ANNADURAI, C.N.",547379,233931,Dravida Munnetra Kazhagam,Tamil Nadu
10,ARANI(12),THARANIVENTHAN M S,500099,208766,Dravida Munnetra Kazhagam,Tamil Nadu
11,,MALAIYARASAN D,561589,53784,Dravida Munnetra Kazhagam,Tamil Nadu
12,SALEM(15),SELVAGANAPATHI T M,566085,70357,Dravida Munnetra Kazhagam,Tamil Nadu
13,NAMAKKAL(16),MATHESWARAN V S,462036,29112,Dravida Munnetra Kazhagam,Tamil Nadu
14,ERODE(17),K E PRAKASH,562339,236566,Dravida Munnetra Kazhagam,Tamil Nadu
15,NILGIRIS(19),RAJA A,473212,240585,Dravida Munnetra Kazhagam,Tamil Nadu
16,COIMBATORE(20),GANAPATHY RAJKUMAR P,568200,118068,Dravida Munnetra Kazhagam,Tamil Nadu
17,POLLACHI(21),ESWARASAMY K,533377,252042,Dravida Munnetra Kazhagam,Tamil Nadu
18,PERAMBALUR(25),ARUN NEHRU,603209,389107,Dravida Munnetra Kazhagam,Tamil Nadu
19,THANJAVUR(30),MURASOLI S,502245,319583,Dravida Munnetra Kazhagam,Tamil Nadu
20,THENI(33),THANGA TAMILSELVAN,571493,278825,Dravida Munnetra Kazhagam,Tamil Nadu
21,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,540729,392738,Dravida Munnetra Kazhagam,Tamil Nadu
22,TENKASI(37),DR RANI SRI KUMAR,425679,196199,Dravida Munnetra Kazhagam,Tamil Nadu
1,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Telugu Desam,Andhra Pradesh
2,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Telugu Desam,Andhra Pradesh
3,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Telugu Desam,Andhra Pradesh
4,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Telugu Desam,Andhra Pradesh
5,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,Telugu Desam,Andhra Pradesh
6,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,Telugu Desam,Andhra Pradesh
7,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,Telugu Desam,Andhra Pradesh
8,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,Telugu Desam,Andhra Pradesh
9,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,Telugu Desam,Andhra Pradesh
10,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,Telugu Desam,Andhra Pradesh
11,Nandyal(17),DR BYREDDY SHABARI,701131,111975,Telugu Desam,Andhra Pradesh
12,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,Telugu Desam,Andhra Pradesh
13,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,Telugu Desam,Andhra Pradesh
14,Hindupur(20),B K PARTHASARATHI,725534,132427,Telugu Desam,Andhra Pradesh
15,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,Telugu Desam,Andhra Pradesh
16,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,Telugu Desam,Andhra Pradesh
1,Valmiki Nagar (1),SUNIL KUMAR,523422,98675,Janata Dal ,Bihar
2,Sheohar(4),LOVELY ANAND,476612,29143,Janata Dal ,Bihar
3,Sitamarhi(5),DEVESH CHANDRA THAKUR,515719,51356,Janata Dal ,Bihar
4,Jhanjharpur(7),RAMPRIT MANDAL,533032,184169,Janata Dal ,Bihar
5,Supaul(8),DILESHWAR KAMAIT,595038,169803,Janata Dal ,Bihar
6,Madhepura(13),DINESH CHANDRA YADAV,640649,174534,Janata Dal ,Bihar
7,Gopalganj(17),DR. ALOK KUMAR SUMAN,511866,127180,Janata Dal ,Bihar
8,Siwan(18),VIJAYLAKSHMI DEVI,386508,92857,Janata Dal ,Bihar
9,Bhagalpur(26),AJAY KUMAR MANDAL,536031,104868,Janata Dal ,Bihar
10,Banka(27),GIRIDHARI YADAV,506678,103844,Janata Dal ,Bihar
11,Munger(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870,Janata Dal ,Bihar
12,Nalanda(29),KAUSHALENDRA KUMAR,559422,169114,Janata Dal ,Bihar
1,Yavatmal- Washim(14),SANJAY UTTAMRAO DESHMUKH,594807,94473,Shiv Sena Uddhav,Maharashtra
2,Hingoli(15),AASHTIKAR PATIL NAGESH BAPURAO,492535,108602,Shiv Sena Uddhav,Maharashtra
3,Parbhani(17),JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061,Shiv Sena Uddhav,Maharashtra
4,Nashik(21),RAJABHAU (PARAG) PRAKASH WAJE,616729,162001,Shiv Sena Uddhav,Maharashtra
5,Mumbai North East(28),SANJAY DINA PATIL,450937,29861,Shiv Sena Uddhav,Maharashtra
6,Mumbai South Central(30),ANIL YESHWANT DESAI,395138,53384,Shiv Sena Uddhav,Maharashtra
7,Mumbai South(31),ARVIND GANPAT SAWANT,395655,52673,Shiv Sena Uddhav,Maharashtra
8,Shirdi (38),BHAUSAHEB RAJARAM WAKCHAURE,476900,50529,Shiv Sena Uddhav,Maharashtra
9,Osmanabad(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846,Shiv Sena Uddhav,Maharashtra
1,Wardha(8),AMAR SHARADRAO KALE,533106,81648,Nationalist Congress Party Sharadchandra Pawar,Maharashtra
2,Dindori (20),BHASKAR MURLIDHAR BHAGARE,577339,113199,Nationalist Congress Party Sharadchandra Pawar,Maharashtra
3,Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121,Nationalist Congress Party Sharadchandra Pawar,Maharashtra
4,Baramati(35),SUPRIYA SULE,732312,158333,Nationalist Congress Party Sharadchandra Pawar,Maharashtra
5,Shirur(36),DR. AMOL RAMSING KOLHE,698692,140951,Nationalist Congress Party Sharadchandra Pawar,Maharashtra
6,Ahmednagar(37),NILESH DNYANDEV LANKE,624797,28929,Nationalist Congress Party Sharadchandra Pawar,Maharashtra
7,Beed(39),BAJRANG MANOHAR SONWANE,683950,6553,Nationalist Congress Party Sharadchandra Pawar,Maharashtra
8,Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837,Nationalist Congress Party Sharadchandra Pawar,Maharashtra
1,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479,Shiv Sena,Maharashtra
2,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650,Shiv Sena,Maharashtra
3,Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144,Shiv Sena,Maharashtra
4,Thane(25),NARESH GANPAT MHASKE,734231,217011,Shiv Sena,Maharashtra
5,Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48,Shiv Sena,Maharashtra
6,Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615,Shiv Sena,Maharashtra
7,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426,Shiv Sena,Maharashtra
1,Vaishali(16),VEENA DEVI,567043,89634,Lok Janshakti Party,Bihar
2,Hajipur(21),CHIRAG PASWAN,615718,170105,Lok Janshakti Party,Bihar
3,Samastipur(23),SHAMBHAVI,579786,187251,Lok Janshakti Party,Bihar
4,Khagaria(25),RAJESH VERMA,538657,161131,Lok Janshakti Party,Bihar
5,Jamui(40),ARUN BHARTI,509046,112482,Lok Janshakti Party,Bihar
1,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
2,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
3,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
4,Rajampet(24),P V MIDHUN REDDY,644844,76071,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
1,Patliputra(31),MISHA BHARTI,613283,85174,Rashtriya Janata Dal,Bihar
2,Buxar(33),SUDHAKAR SINGH,438345,30091,Rashtriya Janata Dal,Bihar
3,Jahanabad(36),SURENDRA PRASAD YADAV,443035,142591,Rashtriya Janata Dal,Bihar
4,Aurangabad(37),ABHAY KUMAR SINHA,465567,79111,Rashtriya Janata Dal,Bihar
1,Alathur (9),K.RADHAKRISHNAN,403447,20111,Communist Party of India  (Marxist,Kerala
2,SIKAR(5),AMRARAM,659300,72896,Communist Party of India  (Marxist,Rajasthan
3,DINDIGUL(22),SACHITHANANTHAM R,670149,443821,Communist Party of India  (Marxist,Tamil Nadu
4,MADURAI(32),VENKATESAN S,430323,209409,Communist Party of India  (Marxist,Tamil Nadu
1,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118,Indian Union Muslim League,Kerala
2,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760,Indian Union Muslim League,Kerala
3,RAMANATHAPURAM(35),NAVASKANI K,509664,166782,Indian Union Muslim League,Tamil Nadu
1,Hoshiarpur(5),DR. RAJ KUMAR CHABBEWAL,303859,44111,Aam Aadmi Party,Punjab
2,Anandpur Sahib(6),MALVINDER SINGH KANG,313217,10846,Aam Aadmi Party,Punjab
3,Sangrur(12),GURMEET SINGH MEET HAYER,364085,172560,Aam Aadmi Party,Punjab
1,Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264,Jharkhand Mukti Morcha,Jharkhand
2,Dumka(2),NALIN SOREN,547370,22527,Jharkhand Mukti Morcha,Jharkhand
3,Singhbhum(10),JOBA MAJHI,520164,168402,Jharkhand Mukti Morcha,Jharkhand
1,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Janasena Party,Andhra Pradesh
2,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,Janasena Party,Andhra Pradesh
1,Arrah(32),SUDAMA PRASAD,529382,59808,Communist Party of India  (Marxist,Bihar
2,Karakat(35),RAJA RAM SINGH,380581,105858,Communist Party of India  (Marxist,Bihar
1,Mandya(20),H.D. KUMARASWAMY,851881,284620,Janata Dal Secular,Karnataka
2,Kolar(28),M. MALLESH BABU,691481,71388,Janata Dal Secular,Karnataka
1,VILUPPURAM(13),RAVIKUMAR. D,477033,70703,Viduthalai Chiruthaigal Katchi,Tamil Nadu
2,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,505084,103554,Viduthalai Chiruthaigal Katchi,Tamil Nadu
1,TIRUPPUR(18),"SUBBARAYAN, K.",472739,125928,Communist Party of India,Tamil Nadu
2,NAGAPATTINAM(29),SELVARAJ V,465044,208957,Communist Party of India,Tamil Nadu
1,Bijnor(4),CHANDAN CHAUHAN,404493,37508,Rashtriya Lok Dal,Uttar Pradesh
2,Baghpat(11),DR RAJKUMAR SANGWAN,488967,159459,Rashtriya Lok Dal,Uttar Pradesh
1,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,356866,188416,Jammu & Kashmir National Conference,Jammu and Kashmir
2,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,521836,281794,Jammu & Kashmir National Conference,Jammu and Kashmir
1,Kokrajhar (1),JOYANTA BASUMATARY,488995,51583,"United People’s Party, Liberal",Assam
1,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351,Asom Gana Parishad,Assam
1,Gaya(38),JITAN RAM MANJHI,494960,101812,Hindustani Awam Morcha Secular,Bihar
1,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266,Kerala Congress,Kerala Congress
1,Kollam(18),N K PREMACHANDRAN,443628,150302,Revolutionary Socialist Party,Kerala
1,Raigad(32),TATKARE SUNIL DATTATREY,508352,82784,Nationalist Congress Party,Maharashtra
1,Shillong(1),DR. RICKY ANDREW J. SYNGKON,571078,371910,Voice of the People Party,Meghalaya
1,MIZORAM(1),RICHARD VANLALHMANGAIHA,208552,68288,Zoram People’s Movement,Mizoram
1,Bathinda(11),HARSIMRAT KAUR BADAL,376558,49656,Shiromani Akali Dal,Punjab
1,NAGAUR(14),HANUMAN BENIWAL,596955,42225,Rashtriya Loktantrik Party,Rajasthan
1,BANSWARA (20),RAJ KUMAR ROAT,820831,247054,Bharat Adivasi Party,Rajasthan
1,Sikkim(1),INDRA HANG SUBBA,164396,80830,Sikkim Krantikari Morcha,Sikkim
1,TIRUCHIRAPPALLI(24),DURAI VAIKO,542213,313094,Marumalarchi Dravida Munnetra Kazhagam,Tamil Nadu
1,Nagina(5),CHANDRASHEKHAR,512552,151473,Aazad Samaj Party (Kanshi Ram,Uttar Pradesh
1,Mirzapur(79),ANUPRIYA PATEL,471631,37810,Apna Dal Soneylal,Uttar Pradesh
1,Giridih(6),CHANDRA PRAKASH CHOUDHARY,451139,80880,AJSU Party,Jharkhand
1,Hyderabad(9),ASADUDDIN OWAISI,661981,338087,All India Majlis-E-Ittehadul Muslimeen,Telangana
1,Purnia(12),RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847,Independent,Bihar
2,Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053,Independent,Maharashtra
3,Khadoor Sahib(3),AMRITPAL SINGH,404430,197120,Independent,Punjab
4,Faridkot(9),SARABJEET SINGH KHALSA,298062,70053,Independent,Punjab
5,Daman & Diu (1),PATEL UMESHBHAI BABUBHAI,42523,6225,Independent,Dadra & Nagar Haveli and Daman & Diu
6,BARAMULLA(1),ABDUL RASHID SHEIKH,472481,204142,Independent,Jammu and Kashmir
7,Ladakh(1),MOHMAD HANEEFA,65259,27862,Independent,Ladakh
